,cell_type,sex,ann_finest_level,count
1436,dendritic cell,male,Alveolar fibroblasts,0
1437,dendritic cell,male,Pericytes,0
1438,dendritic cell,male,Subpleural fibroblasts,0
1439,dendritic cell,male,Myofibroblasts,0
1440,dendritic cell,male,Smooth muscle,0
1441,dendritic cell,male,Smooth muscle FAM83D+,0
1442,dendritic cell,male,SM activated stress response,0
1443,dendritic cell,male,Mesothelium,0
1444,dendritic cell,male,Hematopoietic stem cells,0
1445,dendritic cell,male,B cells,0
1446,dendritic cell,male,Plasma cells,0
1447,dendritic cell,male,CD4 T cells,0
1448,dendritic cell,male,CD8 T cells,0
1449,dendritic cell,male,T cells proliferating,0
1450,dendritic cell,male,NK cells,0
1451,dendritic cell,male,DC1,0
1452,dendritic cell,male,DC2,0
1453,dendritic cell,male,Migratory DCs,173
1454,dendritic cell,male,Plasmacytoid DCs,0
1455,dendritic cell,male,Alveolar macrophages,0
1456,dendritic cell,male,Alveolar Mph CCL3+,0
1457,dendritic cell,male,Alveolar Mph MT-positive,0
1458,dendritic cell,male,Alveolar Mph proliferating,0
1459,dendritic cell,male,Monocyte-derived Mph,0
1460,dendritic cell,male,Interstitial Mph perivascular,0
1461,dendritic cell,male,Classical monocytes,0
1462,dendritic cell,male,Non-classical monocytes,0
1463,dendritic cell,male,Mast cells,0
1464,stromal cell,female,Basal resting,0
1465,stromal cell,female,Suprabasal,0
1466,stromal cell,female,Hillock-like,0
1467,stromal cell,female,Deuterosomal,0
1468,stromal cell,female,Multiciliated (nasal),0
1469,stromal cell,female,Multiciliated (non-nasal),0
1470,stromal cell,female,Club (non-nasal),0
1471,stromal cell,female,Club (nasal),0
1472,stromal cell,female,Goblet (nasal),0
1473,stromal cell,female,Goblet (bronchial),0
1474,stromal cell,female,Goblet (subsegmental),0
1475,stromal cell,female,AT0,0
1476,stromal cell,female,pre-TB secretory,0
1477,stromal cell,female,Ionocyte,0
1478,stromal cell,female,Tuft,0
1479,stromal cell,female,Neuroendocrine,0
1480,stromal cell,female,SMG serous (nasal),0
1481,stromal cell,female,SMG serous (bronchial),0
1482,stromal cell,female,SMG mucous,0
1483,stromal cell,female,SMG duct,0
1484,stromal cell,female,AT1,0
1485,stromal cell,female,AT2,0
1486,stromal cell,female,AT2 proliferating,0
1487,stromal cell,female,EC arterial,0
1488,stromal cell,female,EC aerocyte capillary,0
1489,stromal cell,female,EC general capillary,0
1490,stromal cell,female,EC venous systemic,0
1491,stromal cell,female,EC venous pulmonary,0
1492,stromal cell,female,Lymphatic EC mature,0
1493,stromal cell,female,Lymphatic EC proliferating,0
1494,stromal cell,female,Lymphatic EC differentiating,0
1495,stromal cell,female,Peribronchial fibroblasts,0
1496,stromal cell,female,Adventitial fibroblasts,0
1497,stromal cell,female,Alveolar fibroblasts,0
1498,stromal cell,female,Pericytes,0
1499,stromal cell,female,Subpleural fibroblasts,0
1500,stromal cell,female,Myofibroblasts,0
1501,stromal cell,female,Smooth muscle,0
1502,stromal cell,female,Smooth muscle FAM83D+,256
1503,stromal cell,female,SM activated stress response,0
1504,stromal cell,female,Mesothelium,0
1505,stromal cell,female,Hematopoietic stem cells,0
1506,stromal cell,female,B cells,0
1507,stromal cell,female,Plasma cells,0
1508,stromal cell,female,CD4 T cells,0
1509,stromal cell,female,CD8 T cells,0
1510,stromal cell,female,T cells proliferating,0
1511,stromal cell,female,NK cells,0
1512,stromal cell,female,DC1,0
1513,stromal cell,female,DC2,0
1514,stromal cell,female,Migratory DCs,0
1515,stromal cell,female,Plasmacytoid DCs,0
1516,stromal cell,female,Alveolar macrophages,0
1517,stromal cell,female,Alveolar Mph CCL3+,0
1518,stromal cell,female,Alveolar Mph MT-positive,0
1519,stromal cell,female,Alveolar Mph proliferating,0
1520,stromal cell,female,Monocyte-derived Mph,0
1521,stromal cell,female,Interstitial Mph perivascular,0
1522,stromal cell,female,Classical monocytes,0
1523,stromal cell,female,Non-classical monocytes,0
1524,stromal cell,female,Mast cells,0
1525,stromal cell,male,Basal resting,0
1526,stromal cell,male,Suprabasal,0
1527,stromal cell,male,Hillock-like,0
1528,stromal cell,male,Deuterosomal,0
1529,stromal cell,male,Multiciliated (nasal),0
1530,stromal cell,male,Multiciliated (non-nasal),0
1531,stromal cell,male,Club (non-nasal),0
1532,stromal cell,male,Club (nasal),0
1533,stromal cell,male,Goblet (nasal),0
1534,stromal cell,male,Goblet (bronchial),0
1535,stromal cell,male,Goblet (subsegmental),0
1536,stromal cell,male,AT0,0
1537,stromal cell,male,pre-TB secretory,0
1538,stromal cell,male,Ionocyte,0
1539,stromal cell,male,Tuft,0
1540,stromal cell,male,Neuroendocrine,0
1541,stromal cell,male,SMG serous (nasal),0
1542,stromal cell,male,SMG serous (bronchial),0
1543,stromal cell,male,SMG mucous,0
1544,stromal cell,male,SMG duct,0
1545,stromal cell,male,AT1,0
1546,stromal cell,male,AT2,0
1547,stromal cell,male,AT2 proliferating,0
1548,stromal cell,male,EC arterial,0
1549,stromal cell,male,EC aerocyte capillary,0
1550,stromal cell,male,EC general capillary,0
1551,stromal cell,male,EC venous systemic,0
1552,stromal cell,male,EC venous pulmonary,0
1553,stromal cell,male,Lymphatic EC mature,0
1554,stromal cell,male,Lymphatic EC proliferating,0
1555,stromal cell,male,Lymphatic EC differentiating,0
1556,stromal cell,male,Peribronchial fibroblasts,0
1557,stromal cell,male,Adventitial fibroblasts,0
1558,stromal cell,male,Alveolar fibroblasts,0
1559,stromal cell,male,Pericytes,0
1560,stromal cell,male,Subpleural fibroblasts,0
1561,stromal cell,male,Myofibroblasts,0
1562,stromal cell,male,Smooth muscle,0
1563,stromal cell,male,Smooth muscle FAM83D+,79
1564,stromal cell,male,SM activated stress response,0
1565,stromal cell,male,Mesothelium,0
1566,stromal cell,male,Hematopoietic stem cells,0
1567,stromal cell,male,B cells,0
1568,stromal cell,male,Plasma cells,0
1569,stromal cell,male,CD4 T cells,0
1570,stromal cell,male,CD8 T cells,0
1571,stromal cell,male,T cells proliferating,0
1572,stromal cell,male,NK cells,0
1573,stromal cell,male,DC1,0
1574,stromal cell,male,DC2,0
1575,stromal cell,male,Migratory DCs,0
1576,stromal cell,male,Plasmacytoid DCs,0
1577,stromal cell,male,Alveolar macrophages,0
1578,stromal cell,male,Alveolar Mph CCL3+,0
1579,stromal cell,male,Alveolar Mph MT-positive,0
1580,stromal cell,male,Alveolar Mph proliferating,0
1581,stromal cell,male,Monocyte-derived Mph,0
1582,stromal cell,male,Interstitial Mph perivascular,0
1583,stromal cell,male,Classical monocytes,0
1584,stromal cell,male,Non-classical monocytes,0
1585,stromal cell,male,Mast cells,0
1586,alveolar macrophage,female,Basal resting,0
1587,alveolar macrophage,female,Suprabasal,0
1588,alveolar macrophage,female,Hillock-like,0
1589,alveolar macrophage,female,Deuterosomal,0
1590,alveolar macrophage,female,Multiciliated (nasal),0
1591,alveolar macrophage,female,Multiciliated (non-nasal),0
1592,alveolar macrophage,female,Club (non-nasal),0
1593,alveolar macrophage,female,Club (nasal),0
1594,alveolar macrophage,female,Goblet (nasal),0
1595,alveolar macrophage,female,Goblet (bronchial),0
1596,alveolar macrophage,female,Goblet (subsegmental),0
1597,alveolar macrophage,female,AT0,0
1598,alveolar macrophage,female,pre-TB secretory,0
1599,alveolar macrophage,female,Ionocyte,0
1600,alveolar macrophage,female,Tuft,0
1601,alveolar macrophage,female,Neuroendocrine,0
1602,alveolar macrophage,female,SMG serous (nasal),0
1603,alveolar macrophage,female,SMG serous (bronchial),0
1604,alveolar macrophage,female,SMG mucous,0
1605,alveolar macrophage,female,SMG duct,0
1606,alveolar macrophage,female,AT1,0
1607,alveolar macrophage,female,AT2,0
1608,alveolar macrophage,female,AT2 proliferating,0
1609,alveolar macrophage,female,EC arterial,0
1610,alveolar macrophage,female,EC aerocyte capillary,0
1611,alveolar macrophage,female,EC general capillary,0
1612,alveolar macrophage,female,EC venous systemic,0
1613,alveolar macrophage,female,EC venous pulmonary,0
1614,alveolar macrophage,female,Lymphatic EC mature,0
1615,alveolar macrophage,female,Lymphatic EC proliferating,0
1616,alveolar macrophage,female,Lymphatic EC differentiating,0
1617,alveolar macrophage,female,Peribronchial fibroblasts,0
1618,alveolar macrophage,female,Adventitial fibroblasts,0
1619,alveolar macrophage,female,Alveolar fibroblasts,0
1620,alveolar macrophage,female,Pericytes,0
1621,alveolar macrophage,female,Subpleural fibroblasts,0
1622,alveolar macrophage,female,Myofibroblasts,0
1623,alveolar macrophage,female,Smooth muscle,0
1624,alveolar macrophage,female,Smooth muscle FAM83D+,0
1625,alveolar macrophage,female,SM activated stress response,0
1626,alveolar macrophage,female,Mesothelium,0
1627,alveolar macrophage,female,Hematopoietic stem cells,0
1628,alveolar macrophage,female,B cells,0
1629,alveolar macrophage,female,Plasma cells,0
1630,alveolar macrophage,female,CD4 T cells,0
1631,alveolar macrophage,female,CD8 T cells,0
1632,alveolar macrophage,female,T cells proliferating,0
1633,alveolar macrophage,female,NK cells,0
1634,alveolar macrophage,female,DC1,0
1635,alveolar macrophage,female,DC2,0
1636,alveolar macrophage,female,Migratory DCs,0
1637,alveolar macrophage,female,Plasmacytoid DCs,0
1638,alveolar macrophage,female,Alveolar macrophages,20053
1639,alveolar macrophage,female,Alveolar Mph CCL3+,898
1640,alveolar macrophage,female,Alveolar Mph MT-positive,1106
1641,alveolar macrophage,female,Alveolar Mph proliferating,378
1642,alveolar macrophage,female,Monocyte-derived Mph,0
1643,alveolar macrophage,female,Interstitial Mph perivascular,0
1644,alveolar macrophage,female,Classical monocytes,0
1645,alveolar macrophage,female,Non-classical monocytes,0
1646,alveolar macrophage,female,Mast cells,0
1647,alveolar macrophage,male,Basal resting,0
1648,alveolar macrophage,male,Suprabasal,0
1649,alveolar macrophage,male,Hillock-like,0
1650,alveolar macrophage,male,Deuterosomal,0
1651,alveolar macrophage,male,Multiciliated (nasal),0
1652,alveolar macrophage,male,Multiciliated (non-nasal),0
1653,alveolar macrophage,male,Club (non-nasal),0
1654,alveolar macrophage,male,Club (nasal),0
1655,alveolar macrophage,male,Goblet (nasal),0
1656,alveolar macrophage,male,Goblet (bronchial),0
1657,alveolar macrophage,male,Goblet (subsegmental),0
1658,alveolar macrophage,male,AT0,0
1659,alveolar macrophage,male,pre-TB secretory,0
1660,alveolar macrophage,male,Ionocyte,0
1661,alveolar macrophage,male,Tuft,0
1662,alveolar macrophage,male,Neuroendocrine,0
1663,alveolar macrophage,male,SMG serous (nasal),0
1664,alveolar macrophage,male,SMG serous (bronchial),0
1665,alveolar macrophage,male,SMG mucous,0
1666,alveolar macrophage,male,SMG duct,0
1667,alveolar macrophage,male,AT1,0
1668,alveolar macrophage,male,AT2,0
1669,alveolar macrophage,male,AT2 proliferating,0
1670,alveolar macrophage,male,EC arterial,0
1671,alveolar macrophage,male,EC aerocyte capillary,0
1672,alveolar macrophage,male,EC general capillary,0
1673,alveolar macrophage,male,EC venous systemic,0
1674,alveolar macrophage,male,EC venous pulmonary,0
1675,alveolar macrophage,male,Lymphatic EC mature,0
1676,alveolar macrophage,male,Lymphatic EC proliferating,0
1677,alveolar macrophage,male,Lymphatic EC differentiating,0
1678,alveolar macrophage,male,Peribronchial fibroblasts,0
1679,alveolar macrophage,male,Adventitial fibroblasts,0
1680,alveolar macrophage,male,Alveolar fibroblasts,0
1681,alveolar macrophage,male,Pericytes,0
1682,alveolar macrophage,male,Subpleural fibroblasts,0
1683,alveolar macrophage,male,Myofibroblasts,0
1684,alveolar macrophage,male,Smooth muscle,0
1685,alveolar macrophage,male,Smooth muscle FAM83D+,0
1686,alveolar macrophage,male,SM activated stress response,0
1687,alveolar macrophage,male,Mesothelium,0
1688,alveolar macrophage,male,Hematopoietic stem cells,0
1689,alveolar macrophage,male,B cells,0
1690,alveolar macrophage,male,Plasma cells,0
1691,alveolar macrophage,male,CD4 T cells,0
1692,alveolar macrophage,male,CD8 T cells,0
1693,alveolar macrophage,male,T cells proliferating,0
1694,alveolar macrophage,male,NK cells,0
1695,alveolar macrophage,male,DC1,0
1696,alveolar macrophage,male,DC2,0
1697,alveolar macrophage,male,Migratory DCs,0
1698,alveolar macrophage,male,Plasmacytoid DCs,0
1699,alveolar macrophage,male,Alveolar macrophages,48434
1700,alveolar macrophage,male,Alveolar Mph CCL3+,7167
1701,alveolar macrophage,male,Alveolar Mph MT-positive,97
1702,alveolar macrophage,male,Alveolar Mph proliferating,683
1703,alveolar macrophage,male,Monocyte-derived Mph,0
1704,alveolar macrophage,male,Interstitial Mph perivascular,0
1705,alveolar macrophage,male,Classical monocytes,0
1706,alveolar macrophage,male,Non-classical monocytes,0
1707,alveolar macrophage,male,Mast cells,0
1708,acinar cell,female,Basal resting,0
1709,acinar cell,female,Suprabasal,0
1710,acinar cell,female,Hillock-like,0
1711,acinar cell,female,Deuterosomal,0
1712,acinar cell,female,Multiciliated (nasal),0
1713,acinar cell,female,Multiciliated (non-nasal),0
1714,acinar cell,female,Club (non-nasal),0
1715,acinar cell,female,Club (nasal),0
1716,acinar cell,female,Goblet (nasal),0
1717,acinar cell,female,Goblet (bronchial),0
1718,acinar cell,female,Goblet (subsegmental),0
1719,acinar cell,female,AT0,0
1720,acinar cell,female,pre-TB secretory,0
1721,acinar cell,female,Ionocyte,0
1722,acinar cell,female,Tuft,0
1723,acinar cell,female,Neuroendocrine,0
1724,acinar cell,female,SMG serous (nasal),0
1725,acinar cell,female,SMG serous (bronchial),0
1726,acinar cell,female,SMG mucous,0
1727,acinar cell,female,SMG duct,393
1728,acinar cell,female,AT1,0
1729,acinar cell,female,AT2,0
1730,acinar cell,female,AT2 proliferating,0
1731,acinar cell,female,EC arterial,0
1732,acinar cell,female,EC aerocyte capillary,0
1733,acinar cell,female,EC general capillary,0
1734,acinar cell,female,EC venous systemic,0
1735,acinar cell,female,EC venous pulmonary,0
1736,acinar cell,female,Lymphatic EC mature,0
1737,acinar cell,female,Lymphatic EC proliferating,0
1738,acinar cell,female,Lymphatic EC differentiating,0
1739,acinar cell,female,Peribronchial fibroblasts,0
1740,acinar cell,female,Adventitial fibroblasts,0
1741,acinar cell,female,Alveolar fibroblasts,0
1742,acinar cell,female,Pericytes,0
1743,acinar cell,female,Subpleural fibroblasts,0
1744,acinar cell,female,Myofibroblasts,0
1745,acinar cell,female,Smooth muscle,0
1746,acinar cell,female,Smooth muscle FAM83D+,0
1747,acinar cell,female,SM activated stress response,0
1748,acinar cell,female,Mesothelium,0
1749,acinar cell,female,Hematopoietic stem cells,0
1750,acinar cell,female,B cells,0
1751,acinar cell,female,Plasma cells,0
1752,acinar cell,female,CD4 T cells,0
1753,acinar cell,female,CD8 T cells,0
1754,acinar cell,female,T cells proliferating,0
1755,acinar cell,female,NK cells,0
1756,acinar cell,female,DC1,0
1757,acinar cell,female,DC2,0
1758,acinar cell,female,Migratory DCs,0
1759,acinar cell,female,Plasmacytoid DCs,0
1760,acinar cell,female,Alveolar macrophages,0
1761,acinar cell,female,Alveolar Mph CCL3+,0
1762,acinar cell,female,Alveolar Mph MT-positive,0
1763,acinar cell,female,Alveolar Mph proliferating,0
1764,acinar cell,female,Monocyte-derived Mph,0
1765,acinar cell,female,Interstitial Mph perivascular,0
1766,acinar cell,female,Classical monocytes,0
1767,acinar cell,female,Non-classical monocytes,0
1768,acinar cell,female,Mast cells,0
1769,acinar cell,male,Basal resting,0
1770,acinar cell,male,Suprabasal,0
1771,acinar cell,male,Hillock-like,0
1772,acinar cell,male,Deuterosomal,0
1773,acinar cell,male,Multiciliated (nasal),0
1774,acinar cell,male,Multiciliated (non-nasal),0
1775,acinar cell,male,Club (non-nasal),0
1776,acinar cell,male,Club (nasal),0
1777,acinar cell,male,Goblet (nasal),0
1778,acinar cell,male,Goblet (bronchial),0
1779,acinar cell,male,Goblet (subsegmental),0
1780,acinar cell,male,AT0,0
1781,acinar cell,male,pre-TB secretory,0
1782,acinar cell,male,Ionocyte,0
1783,acinar cell,male,Tuft,0
1784,acinar cell,male,Neuroendocrine,0
1785,acinar cell,male,SMG serous (nasal),0
1786,acinar cell,male,SMG serous (bronchial),0
1787,acinar cell,male,SMG mucous,0
1788,acinar cell,male,SMG duct,881
1789,acinar cell,male,AT1,0
1790,acinar cell,male,AT2,0
1791,acinar cell,male,AT2 proliferating,0
1792,acinar cell,male,EC arterial,0
1793,acinar cell,male,EC aerocyte capillary,0
1794,acinar cell,male,EC general capillary,0
1795,acinar cell,male,EC venous systemic,0
1796,acinar cell,male,EC venous pulmonary,0
1797,acinar cell,male,Lymphatic EC mature,0
1798,acinar cell,male,Lymphatic EC proliferating,0
1799,acinar cell,male,Lymphatic EC differentiating,0
1800,acinar cell,male,Peribronchial fibroblasts,0
1801,acinar cell,male,Adventitial fibroblasts,0
1802,acinar cell,male,Alveolar fibroblasts,0
1803,acinar cell,male,Pericytes,0
1804,acinar cell,male,Subpleural fibroblasts,0
1805,acinar cell,male,Myofibroblasts,0
1806,acinar cell,male,Smooth muscle,0
1807,acinar cell,male,Smooth muscle FAM83D+,0
1808,acinar cell,male,SM activated stress response,0
1809,acinar cell,male,Mesothelium,0
1810,acinar cell,male,Hematopoietic stem cells,0
1811,acinar cell,male,B cells,0
1812,acinar cell,male,Plasma cells,0
1813,acinar cell,male,CD4 T cells,0
1814,acinar cell,male,CD8 T cells,0
1815,acinar cell,male,T cells proliferating,0
1816,acinar cell,male,NK cells,0
1817,acinar cell,male,DC1,0
1818,acinar cell,male,DC2,0
1819,acinar cell,male,Migratory DCs,0
1820,acinar cell,male,Plasmacytoid DCs,0
1821,acinar cell,male,Alveolar macrophages,0
1822,acinar cell,male,Alveolar Mph CCL3+,0
1823,acinar cell,male,Alveolar Mph MT-positive,0
1824,acinar cell,male,Alveolar Mph proliferating,0
1825,acinar cell,male,Monocyte-derived Mph,0
1826,acinar cell,male,Interstitial Mph perivascular,0
1827,acinar cell,male,Classical monocytes,0
1828,acinar cell,male,Non-classical monocytes,0
1829,acinar cell,male,Mast cells,0
1830,natural killer cell,female,Basal resting,0
1831,natural killer cell,female,Suprabasal,0
1832,natural killer cell,female,Hillock-like,0
1833,natural killer cell,female,Deuterosomal,0
1834,natural killer cell,female,Multiciliated (nasal),0
1835,natural killer cell,female,Multiciliated (non-nasal),0
1836,natural killer cell,female,Club (non-nasal),0
1837,natural killer cell,female,Club (nasal),0
1838,natural killer cell,female,Goblet (nasal),0
1839,natural killer cell,female,Goblet (bronchial),0
1840,natural killer cell,female,Goblet (subsegmental),0
1841,natural killer cell,female,AT0,0
1842,natural killer cell,female,pre-TB secretory,0
1843,natural killer cell,female,Ionocyte,0
1844,natural killer cell,female,Tuft,0
1845,natural killer cell,female,Neuroendocrine,0
1846,natural killer cell,female,SMG serous (nasal),0
1847,natural killer cell,female,SMG serous (bronchial),0
1848,natural killer cell,female,SMG mucous,0
1849,natural killer cell,female,SMG duct,0
1850,natural killer cell,female,AT1,0
1851,natural killer cell,female,AT2,0
1852,natural killer cell,female,AT2 proliferating,0
1853,natural killer cell,female,EC arterial,0
1854,natural killer cell,female,EC aerocyte capillary,0
1855,natural killer cell,female,EC general capillary,0
1856,natural killer cell,female,EC venous systemic,0
1857,natural killer cell,female,EC venous pulmonary,0
1858,natural killer cell,female,Lymphatic EC mature,0
1859,natural killer cell,female,Lymphatic EC proliferating,0
1860,natural killer cell,female,Lymphatic EC differentiating,0
1861,natural killer cell,female,Peribronchial fibroblasts,0
1862,natural killer cell,female,Adventitial fibroblasts,0
1863,natural killer cell,female,Alveolar fibroblasts,0
1864,natural killer cell,female,Pericytes,0
1865,natural killer cell,female,Subpleural fibroblasts,0
1866,natural killer cell,female,Myofibroblasts,0
1867,natural killer cell,female,Smooth muscle,0
1868,natural killer cell,female,Smooth muscle FAM83D+,0
1869,natural killer cell,female,SM activated stress response,0
1870,natural killer cell,female,Mesothelium,0
1871,natural killer cell,female,Hematopoietic stem cells,0
1872,natural killer cell,female,B cells,0
1873,natural killer cell,female,Plasma cells,0
1874,natural killer cell,female,CD4 T cells,0
1875,natural killer cell,female,CD8 T cells,0
1876,natural killer cell,female,T cells proliferating,0
1877,natural killer cell,female,NK cells,10061
1878,natural killer cell,female,DC1,0
1879,natural killer cell,female,DC2,0
1880,natural killer cell,female,Migratory DCs,0
1881,natural killer cell,female,Plasmacytoid DCs,0
1882,natural killer cell,female,Alveolar macrophages,0
1883,natural killer cell,female,Alveolar Mph CCL3+,0
1884,natural killer cell,female,Alveolar Mph MT-positive,0
1885,natural killer cell,female,Alveolar Mph proliferating,0
1886,natural killer cell,female,Monocyte-derived Mph,0
1887,natural killer cell,female,Interstitial Mph perivascular,0
1888,natural killer cell,female,Classical monocytes,0
1889,natural killer cell,female,Non-classical monocytes,0
1890,natural killer cell,female,Mast cells,0
1891,natural killer cell,male,Basal resting,0
1892,natural killer cell,male,Suprabasal,0
1893,natural killer cell,male,Hillock-like,0
1894,natural killer cell,male,Deuterosomal,0
1895,natural killer cell,male,Multiciliated (nasal),0
1896,natural killer cell,male,Multiciliated (non-nasal),0
1897,natural killer cell,male,Club (non-nasal),0
1898,natural killer cell,male,Club (nasal),0
1899,natural killer cell,male,Goblet (nasal),0
1900,natural killer cell,male,Goblet (bronchial),0
1901,natural killer cell,male,Goblet (subsegmental),0
1902,natural killer cell,male,AT0,0
1903,natural killer cell,male,pre-TB secretory,0
1904,natural killer cell,male,Ionocyte,0
1905,natural killer cell,male,Tuft,0
1906,natural killer cell,male,Neuroendocrine,0
1907,natural killer cell,male,SMG serous (nasal),0
1908,natural killer cell,male,SMG serous (bronchial),0
1909,natural killer cell,male,SMG mucous,0
1910,natural killer cell,male,SMG duct,0
1911,natural killer cell,male,AT1,0
1912,natural killer cell,male,AT2,0
1913,natural killer cell,male,AT2 proliferating,0
1914,natural killer cell,male,EC arterial,0
1915,natural killer cell,male,EC aerocyte capillary,0
1916,natural killer cell,male,EC general capillary,0
1917,natural killer cell,male,EC venous systemic,0
1918,natural killer cell,male,EC venous pulmonary,0
1919,natural killer cell,male,Lymphatic EC mature,0
1920,natural killer cell,male,Lymphatic EC proliferating,0
1921,natural killer cell,male,Lymphatic EC differentiating,0
1922,natural killer cell,male,Peribronchial fibroblasts,0
1923,natural killer cell,male,Adventitial fibroblasts,0
1924,natural killer cell,male,Alveolar fibroblasts,0
1925,natural killer cell,male,Pericytes,0
1926,natural killer cell,male,Subpleural fibroblasts,0
1927,natural killer cell,male,Myofibroblasts,0
1928,natural killer cell,male,Smooth muscle,0
1929,natural killer cell,male,Smooth muscle FAM83D+,0
1930,natural killer cell,male,SM activated stress response,0
1931,natural killer cell,male,Mesothelium,0
1932,natural killer cell,male,Hematopoietic stem cells,0
1933,natural killer cell,male,B cells,0
1934,natural killer cell,male,Plasma cells,0
1935,natural killer cell,male,CD4 T cells,0
1936,natural killer cell,male,CD8 T cells,0
1937,natural killer cell,male,T cells proliferating,0
1938,natural killer cell,male,NK cells,6917
1939,natural killer cell,male,DC1,0
1940,natural killer cell,male,DC2,0
1941,natural killer cell,male,Migratory DCs,0
1942,natural killer cell,male,Plasmacytoid DCs,0
1943,natural killer cell,male,Alveolar macrophages,0
1944,natural killer cell,male,Alveolar Mph CCL3+,0
1945,natural killer cell,male,Alveolar Mph MT-positive,0
1946,natural killer cell,male,Alveolar Mph proliferating,0
1947,natural killer cell,male,Monocyte-derived Mph,0
1948,natural killer cell,male,Interstitial Mph perivascular,0
1949,natural killer cell,male,Classical monocytes,0
1950,natural killer cell,male,Non-classical monocytes,0
1951,natural killer cell,male,Mast cells,0
1952,"CD4-positive, alpha-beta T cell",female,Basal resting,0
1953,"CD4-positive, alpha-beta T cell",female,Suprabasal,0
1954,"CD4-positive, alpha-beta T cell",female,Hillock-like,0
1955,"CD4-positive, alpha-beta T cell",female,Deuterosomal,0
1956,"CD4-positive, alpha-beta T cell",female,Multiciliated (nasal),0
1957,"CD4-positive, alpha-beta T cell",female,Multiciliated (non-nasal),0
1958,"CD4-positive, alpha-beta T cell",female,Club (non-nasal),0
1959,"CD4-positive, alpha-beta T cell",female,Club (nasal),0
1960,"CD4-positive, alpha-beta T cell",female,Goblet (nasal),0
1961,"CD4-positive, alpha-beta T cell",female,Goblet (bronchial),0
1962,"CD4-positive, alpha-beta T cell",female,Goblet (subsegmental),0
1963,"CD4-positive, alpha-beta T cell",female,AT0,0
1964,"CD4-positive, alpha-beta T cell",female,pre-TB secretory,0
1965,"CD4-positive, alpha-beta T cell",female,Ionocyte,0
1966,"CD4-positive, alpha-beta T cell",female,Tuft,0
1967,"CD4-positive, alpha-beta T cell",female,Neuroendocrine,0
1968,"CD4-positive, alpha-beta T cell",female,SMG serous (nasal),0
1969,"CD4-positive, alpha-beta T cell",female,SMG serous (bronchial),0
1970,"CD4-positive, alpha-beta T cell",female,SMG mucous,0
1971,"CD4-positive, alpha-beta T cell",female,SMG duct,0
1972,"CD4-positive, alpha-beta T cell",female,AT1,0
1973,"CD4-positive, alpha-beta T cell",female,AT2,0
1974,"CD4-positive, alpha-beta T cell",female,AT2 proliferating,0
1975,"CD4-positive, alpha-beta T cell",female,EC arterial,0
1976,"CD4-positive, alpha-beta T cell",female,EC aerocyte capillary,0
1977,"CD4-positive, alpha-beta T cell",female,EC general capillary,0
1978,"CD4-positive, alpha-beta T cell",female,EC venous systemic,0
1979,"CD4-positive, alpha-beta T cell",female,EC venous pulmonary,0
1980,"CD4-positive, alpha-beta T cell",female,Lymphatic EC mature,0
1981,"CD4-positive, alpha-beta T cell",female,Lymphatic EC proliferating,0
1982,"CD4-positive, alpha-beta T cell",female,Lymphatic EC differentiating,0
1983,"CD4-positive, alpha-beta T cell",female,Peribronchial fibroblasts,0
1984,"CD4-positive, alpha-beta T cell",female,Adventitial fibroblasts,0
1985,"CD4-positive, alpha-beta T cell",female,Alveolar fibroblasts,0
1986,"CD4-positive, alpha-beta T cell",female,Pericytes,0
1987,"CD4-positive, alpha-beta T cell",female,Subpleural fibroblasts,0
1988,"CD4-positive, alpha-beta T cell",female,Myofibroblasts,0
1989,"CD4-positive, alpha-beta T cell",female,Smooth muscle,0
1990,"CD4-positive, alpha-beta T cell",female,Smooth muscle FAM83D+,0
1991,"CD4-positive, alpha-beta T cell",female,SM activated stress response,0
1992,"CD4-positive, alpha-beta T cell",female,Mesothelium,0
1993,"CD4-positive, alpha-beta T cell",female,Hematopoietic stem cells,0
1994,"CD4-positive, alpha-beta T cell",female,B cells,0
1995,"CD4-positive, alpha-beta T cell",female,Plasma cells,0
1996,"CD4-positive, alpha-beta T cell",female,CD4 T cells,12091
1997,"CD4-positive, alpha-beta T cell",female,CD8 T cells,0
1998,"CD4-positive, alpha-beta T cell",female,T cells proliferating,0
1999,"CD4-positive, alpha-beta T cell",female,NK cells,0
2000,"CD4-positive, alpha-beta T cell",female,DC1,0
2001,"CD4-positive, alpha-beta T cell",female,DC2,0
2002,"CD4-positive, alpha-beta T cell",female,Migratory DCs,0
2003,"CD4-positive, alpha-beta T cell",female,Plasmacytoid DCs,0
2004,"CD4-positive, alpha-beta T cell",female,Alveolar macrophages,0
2005,"CD4-positive, alpha-beta T cell",female,Alveolar Mph CCL3+,0
2006,"CD4-positive, alpha-beta T cell",female,Alveolar Mph MT-positive,0
2007,"CD4-positive, alpha-beta T cell",female,Alveolar Mph proliferating,0
2008,"CD4-positive, alpha-beta T cell",female,Monocyte-derived Mph,0
2009,"CD4-positive, alpha-beta T cell",female,Interstitial Mph perivascular,0
2010,"CD4-positive, alpha-beta T cell",female,Classical monocytes,0
2011,"CD4-positive, alpha-beta T cell",female,Non-classical monocytes,0
2012,"CD4-positive, alpha-beta T cell",female,Mast cells,0
2013,"CD4-positive, alpha-beta T cell",male,Basal resting,0
2014,"CD4-positive, alpha-beta T cell",male,Suprabasal,0
