cell_type,ann_level_1,ann_level_5,0
acinar cell,Immune,Monocyte-derived Mph,0
acinar cell,Immune,Multiciliated (nasal),0
acinar cell,Immune,Multiciliated (non-nasal),0
acinar cell,Immune,None,0
acinar cell,Immune,SMG serous (bronchial),0
acinar cell,Immune,SMG serous (nasal),0
acinar cell,Immune,pre-TB secretory,0
acinar cell,Stroma,AT0,0
acinar cell,Stroma,Alveolar Mph CCL3+,0
acinar cell,Stroma,Alveolar Mph MT-positive,0
acinar cell,Stroma,Alveolar Mph proliferating,0
acinar cell,Stroma,Club (nasal),0
acinar cell,Stroma,Club (non-nasal),0
acinar cell,Stroma,Goblet (bronchial),0
acinar cell,Stroma,Goblet (nasal),0
acinar cell,Stroma,Goblet (subsegmental),0
acinar cell,Stroma,Interstitial Mph perivascular,0
acinar cell,Stroma,Monocyte-derived Mph,0
acinar cell,Stroma,Multiciliated (nasal),0
acinar cell,Stroma,Multiciliated (non-nasal),0
acinar cell,Stroma,None,0
acinar cell,Stroma,SMG serous (bronchial),0
acinar cell,Stroma,SMG serous (nasal),0
acinar cell,Stroma,pre-TB secretory,0
natural killer cell,Endothelial,AT0,0
natural killer cell,Endothelial,Alveolar Mph CCL3+,0
natural killer cell,Endothelial,Alveolar Mph MT-positive,0
natural killer cell,Endothelial,Alveolar Mph proliferating,0
natural killer cell,Endothelial,Club (nasal),0
natural killer cell,Endothelial,Club (non-nasal),0
natural killer cell,Endothelial,Goblet (bronchial),0
natural killer cell,Endothelial,Goblet (nasal),0
natural killer cell,Endothelial,Goblet (subsegmental),0
natural killer cell,Endothelial,Interstitial Mph perivascular,0
natural killer cell,Endothelial,Monocyte-derived Mph,0
natural killer cell,Endothelial,Multiciliated (nasal),0
natural killer cell,Endothelial,Multiciliated (non-nasal),0
natural killer cell,Endothelial,None,0
natural killer cell,Endothelial,SMG serous (bronchial),0
natural killer cell,Endothelial,SMG serous (nasal),0
natural killer cell,Endothelial,pre-TB secretory,0
natural killer cell,Epithelial,AT0,0
natural killer cell,Epithelial,Alveolar Mph CCL3+,0
natural killer cell,Epithelial,Alveolar Mph MT-positive,0
natural killer cell,Epithelial,Alveolar Mph proliferating,0
natural killer cell,Epithelial,Club (nasal),0
natural killer cell,Epithelial,Club (non-nasal),0
natural killer cell,Epithelial,Goblet (bronchial),0
natural killer cell,Epithelial,Goblet (nasal),0
natural killer cell,Epithelial,Goblet (subsegmental),0
natural killer cell,Epithelial,Interstitial Mph perivascular,0
natural killer cell,Epithelial,Monocyte-derived Mph,0
natural killer cell,Epithelial,Multiciliated (nasal),0
natural killer cell,Epithelial,Multiciliated (non-nasal),0
natural killer cell,Epithelial,None,0
natural killer cell,Epithelial,SMG serous (bronchial),0
natural killer cell,Epithelial,SMG serous (nasal),0
natural killer cell,Epithelial,pre-TB secretory,0
natural killer cell,Immune,AT0,0
natural killer cell,Immune,Alveolar Mph CCL3+,0
natural killer cell,Immune,Alveolar Mph MT-positive,0
natural killer cell,Immune,Alveolar Mph proliferating,0
natural killer cell,Immune,Club (nasal),0
natural killer cell,Immune,Club (non-nasal),0
natural killer cell,Immune,Goblet (bronchial),0
natural killer cell,Immune,Goblet (nasal),0
natural killer cell,Immune,Goblet (subsegmental),0
natural killer cell,Immune,Interstitial Mph perivascular,0
natural killer cell,Immune,Monocyte-derived Mph,0
natural killer cell,Immune,Multiciliated (nasal),0
natural killer cell,Immune,Multiciliated (non-nasal),0
natural killer cell,Immune,None,16978
natural killer cell,Immune,SMG serous (bronchial),0
natural killer cell,Immune,SMG serous (nasal),0
natural killer cell,Immune,pre-TB secretory,0
natural killer cell,Stroma,AT0,0
natural killer cell,Stroma,Alveolar Mph CCL3+,0
natural killer cell,Stroma,Alveolar Mph MT-positive,0
natural killer cell,Stroma,Alveolar Mph proliferating,0
natural killer cell,Stroma,Club (nasal),0
natural killer cell,Stroma,Club (non-nasal),0
natural killer cell,Stroma,Goblet (bronchial),0
natural killer cell,Stroma,Goblet (nasal),0
natural killer cell,Stroma,Goblet (subsegmental),0
natural killer cell,Stroma,Interstitial Mph perivascular,0
natural killer cell,Stroma,Monocyte-derived Mph,0
natural killer cell,Stroma,Multiciliated (nasal),0
natural killer cell,Stroma,Multiciliated (non-nasal),0
natural killer cell,Stroma,None,0
natural killer cell,Stroma,SMG serous (bronchial),0
natural killer cell,Stroma,SMG serous (nasal),0
natural killer cell,Stroma,pre-TB secretory,0
"CD4-positive, alpha-beta T cell",Endothelial,AT0,0
"CD4-positive, alpha-beta T cell",Endothelial,Alveolar Mph CCL3+,0
"CD4-positive, alpha-beta T cell",Endothelial,Alveolar Mph MT-positive,0
"CD4-positive, alpha-beta T cell",Endothelial,Alveolar Mph proliferating,0
"CD4-positive, alpha-beta T cell",Endothelial,Club (nasal),0
"CD4-positive, alpha-beta T cell",Endothelial,Club (non-nasal),0
"CD4-positive, alpha-beta T cell",Endothelial,Goblet (bronchial),0
"CD4-positive, alpha-beta T cell",Endothelial,Goblet (nasal),0
"CD4-positive, alpha-beta T cell",Endothelial,Goblet (subsegmental),0
"CD4-positive, alpha-beta T cell",Endothelial,Interstitial Mph perivascular,0
"CD4-positive, alpha-beta T cell",Endothelial,Monocyte-derived Mph,0
"CD4-positive, alpha-beta T cell",Endothelial,Multiciliated (nasal),0
"CD4-positive, alpha-beta T cell",Endothelial,Multiciliated (non-nasal),0
"CD4-positive, alpha-beta T cell",Endothelial,None,0
"CD4-positive, alpha-beta T cell",Endothelial,SMG serous (bronchial),0
"CD4-positive, alpha-beta T cell",Endothelial,SMG serous (nasal),0
"CD4-positive, alpha-beta T cell",Endothelial,pre-TB secretory,0
"CD4-positive, alpha-beta T cell",Epithelial,AT0,0
"CD4-positive, alpha-beta T cell",Epithelial,Alveolar Mph CCL3+,0
"CD4-positive, alpha-beta T cell",Epithelial,Alveolar Mph MT-positive,0
"CD4-positive, alpha-beta T cell",Epithelial,Alveolar Mph proliferating,0
"CD4-positive, alpha-beta T cell",Epithelial,Club (nasal),0
"CD4-positive, alpha-beta T cell",Epithelial,Club (non-nasal),0
"CD4-positive, alpha-beta T cell",Epithelial,Goblet (bronchial),0
"CD4-positive, alpha-beta T cell",Epithelial,Goblet (nasal),0
"CD4-positive, alpha-beta T cell",Epithelial,Goblet (subsegmental),0
"CD4-positive, alpha-beta T cell",Epithelial,Interstitial Mph perivascular,0
"CD4-positive, alpha-beta T cell",Epithelial,Monocyte-derived Mph,0
"CD4-positive, alpha-beta T cell",Epithelial,Multiciliated (nasal),0
"CD4-positive, alpha-beta T cell",Epithelial,Multiciliated (non-nasal),0
"CD4-positive, alpha-beta T cell",Epithelial,None,0
"CD4-positive, alpha-beta T cell",Epithelial,SMG serous (bronchial),0
"CD4-positive, alpha-beta T cell",Epithelial,SMG serous (nasal),0
"CD4-positive, alpha-beta T cell",Epithelial,pre-TB secretory,0
"CD4-positive, alpha-beta T cell",Immune,AT0,0
"CD4-positive, alpha-beta T cell",Immune,Alveolar Mph CCL3+,0
"CD4-positive, alpha-beta T cell",Immune,Alveolar Mph MT-positive,0
"CD4-positive, alpha-beta T cell",Immune,Alveolar Mph proliferating,0
"CD4-positive, alpha-beta T cell",Immune,Club (nasal),0
"CD4-positive, alpha-beta T cell",Immune,Club (non-nasal),0
"CD4-positive, alpha-beta T cell",Immune,Goblet (bronchial),0
"CD4-positive, alpha-beta T cell",Immune,Goblet (nasal),0
"CD4-positive, alpha-beta T cell",Immune,Goblet (subsegmental),0
"CD4-positive, alpha-beta T cell",Immune,Interstitial Mph perivascular,0
"CD4-positive, alpha-beta T cell",Immune,Monocyte-derived Mph,0
"CD4-positive, alpha-beta T cell",Immune,Multiciliated (nasal),0
"CD4-positive, alpha-beta T cell",Immune,Multiciliated (non-nasal),0
"CD4-positive, alpha-beta T cell",Immune,None,21285
"CD4-positive, alpha-beta T cell",Immune,SMG serous (bronchial),0
"CD4-positive, alpha-beta T cell",Immune,SMG serous (nasal),0
"CD4-positive, alpha-beta T cell",Immune,pre-TB secretory,0
"CD4-positive, alpha-beta T cell",Stroma,AT0,0
"CD4-positive, alpha-beta T cell",Stroma,Alveolar Mph CCL3+,0
"CD4-positive, alpha-beta T cell",Stroma,Alveolar Mph MT-positive,0
"CD4-positive, alpha-beta T cell",Stroma,Alveolar Mph proliferating,0
"CD4-positive, alpha-beta T cell",Stroma,Club (nasal),0
"CD4-positive, alpha-beta T cell",Stroma,Club (non-nasal),0
"CD4-positive, alpha-beta T cell",Stroma,Goblet (bronchial),0
"CD4-positive, alpha-beta T cell",Stroma,Goblet (nasal),0
"CD4-positive, alpha-beta T cell",Stroma,Goblet (subsegmental),0
"CD4-positive, alpha-beta T cell",Stroma,Interstitial Mph perivascular,0
"CD4-positive, alpha-beta T cell",Stroma,Monocyte-derived Mph,0
"CD4-positive, alpha-beta T cell",Stroma,Multiciliated (nasal),0
"CD4-positive, alpha-beta T cell",Stroma,Multiciliated (non-nasal),0
"CD4-positive, alpha-beta T cell",Stroma,None,0
"CD4-positive, alpha-beta T cell",Stroma,SMG serous (bronchial),0
"CD4-positive, alpha-beta T cell",Stroma,SMG serous (nasal),0
"CD4-positive, alpha-beta T cell",Stroma,pre-TB secretory,0
"CD8-positive, alpha-beta T cell",Endothelial,AT0,0
"CD8-positive, alpha-beta T cell",Endothelial,Alveolar Mph CCL3+,0
"CD8-positive, alpha-beta T cell",Endothelial,Alveolar Mph MT-positive,0
"CD8-positive, alpha-beta T cell",Endothelial,Alveolar Mph proliferating,0
"CD8-positive, alpha-beta T cell",Endothelial,Club (nasal),0
"CD8-positive, alpha-beta T cell",Endothelial,Club (non-nasal),0
"CD8-positive, alpha-beta T cell",Endothelial,Goblet (bronchial),0
"CD8-positive, alpha-beta T cell",Endothelial,Goblet (nasal),0
"CD8-positive, alpha-beta T cell",Endothelial,Goblet (subsegmental),0
"CD8-positive, alpha-beta T cell",Endothelial,Interstitial Mph perivascular,0
"CD8-positive, alpha-beta T cell",Endothelial,Monocyte-derived Mph,0
"CD8-positive, alpha-beta T cell",Endothelial,Multiciliated (nasal),0
"CD8-positive, alpha-beta T cell",Endothelial,Multiciliated (non-nasal),0
"CD8-positive, alpha-beta T cell",Endothelial,None,0
"CD8-positive, alpha-beta T cell",Endothelial,SMG serous (bronchial),0
"CD8-positive, alpha-beta T cell",Endothelial,SMG serous (nasal),0
"CD8-positive, alpha-beta T cell",Endothelial,pre-TB secretory,0
"CD8-positive, alpha-beta T cell",Epithelial,AT0,0
"CD8-positive, alpha-beta T cell",Epithelial,Alveolar Mph CCL3+,0
"CD8-positive, alpha-beta T cell",Epithelial,Alveolar Mph MT-positive,0
"CD8-positive, alpha-beta T cell",Epithelial,Alveolar Mph proliferating,0
"CD8-positive, alpha-beta T cell",Epithelial,Club (nasal),0
"CD8-positive, alpha-beta T cell",Epithelial,Club (non-nasal),0
"CD8-positive, alpha-beta T cell",Epithelial,Goblet (bronchial),0
"CD8-positive, alpha-beta T cell",Epithelial,Goblet (nasal),0
"CD8-positive, alpha-beta T cell",Epithelial,Goblet (subsegmental),0
"CD8-positive, alpha-beta T cell",Epithelial,Interstitial Mph perivascular,0
"CD8-positive, alpha-beta T cell",Epithelial,Monocyte-derived Mph,0
"CD8-positive, alpha-beta T cell",Epithelial,Multiciliated (nasal),0
"CD8-positive, alpha-beta T cell",Epithelial,Multiciliated (non-nasal),0
"CD8-positive, alpha-beta T cell",Epithelial,None,0
"CD8-positive, alpha-beta T cell",Epithelial,SMG serous (bronchial),0
"CD8-positive, alpha-beta T cell",Epithelial,SMG serous (nasal),0
"CD8-positive, alpha-beta T cell",Epithelial,pre-TB secretory,0
"CD8-positive, alpha-beta T cell",Immune,AT0,0
"CD8-positive, alpha-beta T cell",Immune,Alveolar Mph CCL3+,0
"CD8-positive, alpha-beta T cell",Immune,Alveolar Mph MT-positive,0
"CD8-positive, alpha-beta T cell",Immune,Alveolar Mph proliferating,0
"CD8-positive, alpha-beta T cell",Immune,Club (nasal),0
"CD8-positive, alpha-beta T cell",Immune,Club (non-nasal),0
"CD8-positive, alpha-beta T cell",Immune,Goblet (bronchial),0
"CD8-positive, alpha-beta T cell",Immune,Goblet (nasal),0
"CD8-positive, alpha-beta T cell",Immune,Goblet (subsegmental),0
"CD8-positive, alpha-beta T cell",Immune,Interstitial Mph perivascular,0
"CD8-positive, alpha-beta T cell",Immune,Monocyte-derived Mph,0
"CD8-positive, alpha-beta T cell",Immune,Multiciliated (nasal),0
"CD8-positive, alpha-beta T cell",Immune,Multiciliated (non-nasal),0
"CD8-positive, alpha-beta T cell",Immune,None,29074
"CD8-positive, alpha-beta T cell",Immune,SMG serous (bronchial),0
"CD8-positive, alpha-beta T cell",Immune,SMG serous (nasal),0
"CD8-positive, alpha-beta T cell",Immune,pre-TB secretory,0
"CD8-positive, alpha-beta T cell",Stroma,AT0,0
"CD8-positive, alpha-beta T cell",Stroma,Alveolar Mph CCL3+,0
"CD8-positive, alpha-beta T cell",Stroma,Alveolar Mph MT-positive,0
"CD8-positive, alpha-beta T cell",Stroma,Alveolar Mph proliferating,0
"CD8-positive, alpha-beta T cell",Stroma,Club (nasal),0
"CD8-positive, alpha-beta T cell",Stroma,Club (non-nasal),0
"CD8-positive, alpha-beta T cell",Stroma,Goblet (bronchial),0
"CD8-positive, alpha-beta T cell",Stroma,Goblet (nasal),0
"CD8-positive, alpha-beta T cell",Stroma,Goblet (subsegmental),0
"CD8-positive, alpha-beta T cell",Stroma,Interstitial Mph perivascular,0
"CD8-positive, alpha-beta T cell",Stroma,Monocyte-derived Mph,0
"CD8-positive, alpha-beta T cell",Stroma,Multiciliated (nasal),0
"CD8-positive, alpha-beta T cell",Stroma,Multiciliated (non-nasal),0
"CD8-positive, alpha-beta T cell",Stroma,None,0
"CD8-positive, alpha-beta T cell",Stroma,SMG serous (bronchial),0
"CD8-positive, alpha-beta T cell",Stroma,SMG serous (nasal),0
"CD8-positive, alpha-beta T cell",Stroma,pre-TB secretory,0
plasmacytoid dendritic cell,Endothelial,AT0,0
plasmacytoid dendritic cell,Endothelial,Alveolar Mph CCL3+,0
plasmacytoid dendritic cell,Endothelial,Alveolar Mph MT-positive,0
plasmacytoid dendritic cell,Endothelial,Alveolar Mph proliferating,0
plasmacytoid dendritic cell,Endothelial,Club (nasal),0
plasmacytoid dendritic cell,Endothelial,Club (non-nasal),0
plasmacytoid dendritic cell,Endothelial,Goblet (bronchial),0
plasmacytoid dendritic cell,Endothelial,Goblet (nasal),0
plasmacytoid dendritic cell,Endothelial,Goblet (subsegmental),0
plasmacytoid dendritic cell,Endothelial,Interstitial Mph perivascular,0
plasmacytoid dendritic cell,Endothelial,Monocyte-derived Mph,0
plasmacytoid dendritic cell,Endothelial,Multiciliated (nasal),0
plasmacytoid dendritic cell,Endothelial,Multiciliated (non-nasal),0
plasmacytoid dendritic cell,Endothelial,None,0
plasmacytoid dendritic cell,Endothelial,SMG serous (bronchial),0
plasmacytoid dendritic cell,Endothelial,SMG serous (nasal),0
plasmacytoid dendritic cell,Endothelial,pre-TB secretory,0
plasmacytoid dendritic cell,Epithelial,AT0,0
plasmacytoid dendritic cell,Epithelial,Alveolar Mph CCL3+,0
plasmacytoid dendritic cell,Epithelial,Alveolar Mph MT-positive,0
plasmacytoid dendritic cell,Epithelial,Alveolar Mph proliferating,0
plasmacytoid dendritic cell,Epithelial,Club (nasal),0
plasmacytoid dendritic cell,Epithelial,Club (non-nasal),0
plasmacytoid dendritic cell,Epithelial,Goblet (bronchial),0
plasmacytoid dendritic cell,Epithelial,Goblet (nasal),0
plasmacytoid dendritic cell,Epithelial,Goblet (subsegmental),0
plasmacytoid dendritic cell,Epithelial,Interstitial Mph perivascular,0
plasmacytoid dendritic cell,Epithelial,Monocyte-derived Mph,0
plasmacytoid dendritic cell,Epithelial,Multiciliated (nasal),0
plasmacytoid dendritic cell,Epithelial,Multiciliated (non-nasal),0
plasmacytoid dendritic cell,Epithelial,None,0
plasmacytoid dendritic cell,Epithelial,SMG serous (bronchial),0
plasmacytoid dendritic cell,Epithelial,SMG serous (nasal),0
plasmacytoid dendritic cell,Epithelial,pre-TB secretory,0
plasmacytoid dendritic cell,Immune,AT0,0
plasmacytoid dendritic cell,Immune,Alveolar Mph CCL3+,0
plasmacytoid dendritic cell,Immune,Alveolar Mph MT-positive,0
plasmacytoid dendritic cell,Immune,Alveolar Mph proliferating,0
plasmacytoid dendritic cell,Immune,Club (nasal),0
plasmacytoid dendritic cell,Immune,Club (non-nasal),0
plasmacytoid dendritic cell,Immune,Goblet (bronchial),0
plasmacytoid dendritic cell,Immune,Goblet (nasal),0
plasmacytoid dendritic cell,Immune,Goblet (subsegmental),0
plasmacytoid dendritic cell,Immune,Interstitial Mph perivascular,0
plasmacytoid dendritic cell,Immune,Monocyte-derived Mph,0
plasmacytoid dendritic cell,Immune,Multiciliated (nasal),0
plasmacytoid dendritic cell,Immune,Multiciliated (non-nasal),0
plasmacytoid dendritic cell,Immune,None,552
plasmacytoid dendritic cell,Immune,SMG serous (bronchial),0
plasmacytoid dendritic cell,Immune,SMG serous (nasal),0
plasmacytoid dendritic cell,Immune,pre-TB secretory,0
plasmacytoid dendritic cell,Stroma,AT0,0
plasmacytoid dendritic cell,Stroma,Alveolar Mph CCL3+,0
plasmacytoid dendritic cell,Stroma,Alveolar Mph MT-positive,0
plasmacytoid dendritic cell,Stroma,Alveolar Mph proliferating,0
plasmacytoid dendritic cell,Stroma,Club (nasal),0
plasmacytoid dendritic cell,Stroma,Club (non-nasal),0
plasmacytoid dendritic cell,Stroma,Goblet (bronchial),0
plasmacytoid dendritic cell,Stroma,Goblet (nasal),0
plasmacytoid dendritic cell,Stroma,Goblet (subsegmental),0
plasmacytoid dendritic cell,Stroma,Interstitial Mph perivascular,0
plasmacytoid dendritic cell,Stroma,Monocyte-derived Mph,0
plasmacytoid dendritic cell,Stroma,Multiciliated (nasal),0
plasmacytoid dendritic cell,Stroma,Multiciliated (non-nasal),0
plasmacytoid dendritic cell,Stroma,None,0
plasmacytoid dendritic cell,Stroma,SMG serous (bronchial),0
plasmacytoid dendritic cell,Stroma,SMG serous (nasal),0
plasmacytoid dendritic cell,Stroma,pre-TB secretory,0
plasma cell,Endothelial,AT0,0
plasma cell,Endothelial,Alveolar Mph CCL3+,0
plasma cell,Endothelial,Alveolar Mph MT-positive,0
plasma cell,Endothelial,Alveolar Mph proliferating,0
plasma cell,Endothelial,Club (nasal),0
plasma cell,Endothelial,Club (non-nasal),0
plasma cell,Endothelial,Goblet (bronchial),0
plasma cell,Endothelial,Goblet (nasal),0
plasma cell,Endothelial,Goblet (subsegmental),0
plasma cell,Endothelial,Interstitial Mph perivascular,0
plasma cell,Endothelial,Monocyte-derived Mph,0
plasma cell,Endothelial,Multiciliated (nasal),0
plasma cell,Endothelial,Multiciliated (non-nasal),0
plasma cell,Endothelial,None,0
plasma cell,Endothelial,SMG serous (bronchial),0
plasma cell,Endothelial,SMG serous (nasal),0
plasma cell,Endothelial,pre-TB secretory,0
plasma cell,Epithelial,AT0,0
plasma cell,Epithelial,Alveolar Mph CCL3+,0
plasma cell,Epithelial,Alveolar Mph MT-positive,0
plasma cell,Epithelial,Alveolar Mph proliferating,0
plasma cell,Epithelial,Club (nasal),0
plasma cell,Epithelial,Club (non-nasal),0
plasma cell,Epithelial,Goblet (bronchial),0
plasma cell,Epithelial,Goblet (nasal),0
plasma cell,Epithelial,Goblet (subsegmental),0
plasma cell,Epithelial,Interstitial Mph perivascular,0
plasma cell,Epithelial,Monocyte-derived Mph,0
plasma cell,Epithelial,Multiciliated (nasal),0
plasma cell,Epithelial,Multiciliated (non-nasal),0
plasma cell,Epithelial,None,0
plasma cell,Epithelial,SMG serous (bronchial),0
plasma cell,Epithelial,SMG serous (nasal),0
plasma cell,Epithelial,pre-TB secretory,0
plasma cell,Immune,AT0,0
plasma cell,Immune,Alveolar Mph CCL3+,0
plasma cell,Immune,Alveolar Mph MT-positive,0
plasma cell,Immune,Alveolar Mph proliferating,0
plasma cell,Immune,Club (nasal),0
plasma cell,Immune,Club (non-nasal),0
plasma cell,Immune,Goblet (bronchial),0
plasma cell,Immune,Goblet (nasal),0
plasma cell,Immune,Goblet (subsegmental),0
plasma cell,Immune,Interstitial Mph perivascular,0
plasma cell,Immune,Monocyte-derived Mph,0
plasma cell,Immune,Multiciliated (nasal),0
plasma cell,Immune,Multiciliated (non-nasal),0
plasma cell,Immune,None,1773
plasma cell,Immune,SMG serous (bronchial),0
plasma cell,Immune,SMG serous (nasal),0
plasma cell,Immune,pre-TB secretory,0
plasma cell,Stroma,AT0,0
plasma cell,Stroma,Alveolar Mph CCL3+,0
plasma cell,Stroma,Alveolar Mph MT-positive,0
plasma cell,Stroma,Alveolar Mph proliferating,0
plasma cell,Stroma,Club (nasal),0
plasma cell,Stroma,Club (non-nasal),0
plasma cell,Stroma,Goblet (bronchial),0
plasma cell,Stroma,Goblet (nasal),0
plasma cell,Stroma,Goblet (subsegmental),0
plasma cell,Stroma,Interstitial Mph perivascular,0
plasma cell,Stroma,Monocyte-derived Mph,0
plasma cell,Stroma,Multiciliated (nasal),0
plasma cell,Stroma,Multiciliated (non-nasal),0
plasma cell,Stroma,None,0
plasma cell,Stroma,SMG serous (bronchial),0
plasma cell,Stroma,SMG serous (nasal),0
plasma cell,Stroma,pre-TB secretory,0
classical monocyte,Endothelial,AT0,0
classical monocyte,Endothelial,Alveolar Mph CCL3+,0
classical monocyte,Endothelial,Alveolar Mph MT-positive,0
classical monocyte,Endothelial,Alveolar Mph proliferating,0
classical monocyte,Endothelial,Club (nasal),0
classical monocyte,Endothelial,Club (non-nasal),0
classical monocyte,Endothelial,Goblet (bronchial),0
classical monocyte,Endothelial,Goblet (nasal),0
classical monocyte,Endothelial,Goblet (subsegmental),0
classical monocyte,Endothelial,Interstitial Mph perivascular,0
classical monocyte,Endothelial,Monocyte-derived Mph,0
classical monocyte,Endothelial,Multiciliated (nasal),0
classical monocyte,Endothelial,Multiciliated (non-nasal),0
classical monocyte,Endothelial,None,0
classical monocyte,Endothelial,SMG serous (bronchial),0
classical monocyte,Endothelial,SMG serous (nasal),0
classical monocyte,Endothelial,pre-TB secretory,0
classical monocyte,Epithelial,AT0,0
classical monocyte,Epithelial,Alveolar Mph CCL3+,0
classical monocyte,Epithelial,Alveolar Mph MT-positive,0
classical monocyte,Epithelial,Alveolar Mph proliferating,0
classical monocyte,Epithelial,Club (nasal),0
classical monocyte,Epithelial,Club (non-nasal),0
classical monocyte,Epithelial,Goblet (bronchial),0
classical monocyte,Epithelial,Goblet (nasal),0
classical monocyte,Epithelial,Goblet (subsegmental),0
classical monocyte,Epithelial,Interstitial Mph perivascular,0
classical monocyte,Epithelial,Monocyte-derived Mph,0
classical monocyte,Epithelial,Multiciliated (nasal),0
classical monocyte,Epithelial,Multiciliated (non-nasal),0
classical monocyte,Epithelial,None,0
classical monocyte,Epithelial,SMG serous (bronchial),0
classical monocyte,Epithelial,SMG serous (nasal),0
classical monocyte,Epithelial,pre-TB secretory,0
classical monocyte,Immune,AT0,0
classical monocyte,Immune,Alveolar Mph CCL3+,0
classical monocyte,Immune,Alveolar Mph MT-positive,0
classical monocyte,Immune,Alveolar Mph proliferating,0
classical monocyte,Immune,Club (nasal),0
classical monocyte,Immune,Club (non-nasal),0
classical monocyte,Immune,Goblet (bronchial),0
classical monocyte,Immune,Goblet (nasal),0
classical monocyte,Immune,Goblet (subsegmental),0
classical monocyte,Immune,Interstitial Mph perivascular,0
classical monocyte,Immune,Monocyte-derived Mph,0
classical monocyte,Immune,Multiciliated (nasal),0
classical monocyte,Immune,Multiciliated (non-nasal),0
classical monocyte,Immune,None,17695
classical monocyte,Immune,SMG serous (bronchial),0
classical monocyte,Immune,SMG serous (nasal),0
classical monocyte,Immune,pre-TB secretory,0
classical monocyte,Stroma,AT0,0
classical monocyte,Stroma,Alveolar Mph CCL3+,0
classical monocyte,Stroma,Alveolar Mph MT-positive,0
classical monocyte,Stroma,Alveolar Mph proliferating,0
classical monocyte,Stroma,Club (nasal),0
classical monocyte,Stroma,Club (non-nasal),0
classical monocyte,Stroma,Goblet (bronchial),0
classical monocyte,Stroma,Goblet (nasal),0
classical monocyte,Stroma,Goblet (subsegmental),0
classical monocyte,Stroma,Interstitial Mph perivascular,0
classical monocyte,Stroma,Monocyte-derived Mph,0
classical monocyte,Stroma,Multiciliated (nasal),0
classical monocyte,Stroma,Multiciliated (non-nasal),0
classical monocyte,Stroma,None,0
classical monocyte,Stroma,SMG serous (bronchial),0
classical monocyte,Stroma,SMG serous (nasal),0
classical monocyte,Stroma,pre-TB secretory,0
elicited macrophage,Endothelial,AT0,0
elicited macrophage,Endothelial,Alveolar Mph CCL3+,0
elicited macrophage,Endothelial,Alveolar Mph MT-positive,0
elicited macrophage,Endothelial,Alveolar Mph proliferating,0
elicited macrophage,Endothelial,Club (nasal),0
elicited macrophage,Endothelial,Club (non-nasal),0
elicited macrophage,Endothelial,Goblet (bronchial),0
elicited macrophage,Endothelial,Goblet (nasal),0
elicited macrophage,Endothelial,Goblet (subsegmental),0
elicited macrophage,Endothelial,Interstitial Mph perivascular,0
elicited macrophage,Endothelial,Monocyte-derived Mph,0
elicited macrophage,Endothelial,Multiciliated (nasal),0
elicited macrophage,Endothelial,Multiciliated (non-nasal),0
elicited macrophage,Endothelial,None,0
elicited macrophage,Endothelial,SMG serous (bronchial),0
elicited macrophage,Endothelial,SMG serous (nasal),0
elicited macrophage,Endothelial,pre-TB secretory,0
elicited macrophage,Epithelial,AT0,0
elicited macrophage,Epithelial,Alveolar Mph CCL3+,0
elicited macrophage,Epithelial,Alveolar Mph MT-positive,0
elicited macrophage,Epithelial,Alveolar Mph proliferating,0
elicited macrophage,Epithelial,Club (nasal),0
elicited macrophage,Epithelial,Club (non-nasal),0
elicited macrophage,Epithelial,Goblet (bronchial),0
elicited macrophage,Epithelial,Goblet (nasal),0
elicited macrophage,Epithelial,Goblet (subsegmental),0
elicited macrophage,Epithelial,Interstitial Mph perivascular,0
elicited macrophage,Epithelial,Monocyte-derived Mph,0
elicited macrophage,Epithelial,Multiciliated (nasal),0
elicited macrophage,Epithelial,Multiciliated (non-nasal),0
elicited macrophage,Epithelial,None,0
elicited macrophage,Epithelial,SMG serous (bronchial),0
elicited macrophage,Epithelial,SMG serous (nasal),0
elicited macrophage,Epithelial,pre-TB secretory,0
elicited macrophage,Immune,AT0,0
elicited macrophage,Immune,Alveolar Mph CCL3+,0
elicited macrophage,Immune,Alveolar Mph MT-positive,0
elicited macrophage,Immune,Alveolar Mph proliferating,0
elicited macrophage,Immune,Club (nasal),0
elicited macrophage,Immune,Club (non-nasal),0
elicited macrophage,Immune,Goblet (bronchial),0
elicited macrophage,Immune,Goblet (nasal),0
elicited macrophage,Immune,Goblet (subsegmental),0
elicited macrophage,Immune,Interstitial Mph perivascular,0
elicited macrophage,Immune,Monocyte-derived Mph,28223
elicited macrophage,Immune,Multiciliated (nasal),0
elicited macrophage,Immune,Multiciliated (non-nasal),0
elicited macrophage,Immune,None,0
elicited macrophage,Immune,SMG serous (bronchial),0
elicited macrophage,Immune,SMG serous (nasal),0
elicited macrophage,Immune,pre-TB secretory,0
elicited macrophage,Stroma,AT0,0
elicited macrophage,Stroma,Alveolar Mph CCL3+,0
elicited macrophage,Stroma,Alveolar Mph MT-positive,0
elicited macrophage,Stroma,Alveolar Mph proliferating,0
elicited macrophage,Stroma,Club (nasal),0
elicited macrophage,Stroma,Club (non-nasal),0
elicited macrophage,Stroma,Goblet (bronchial),0
elicited macrophage,Stroma,Goblet (nasal),0
elicited macrophage,Stroma,Goblet (subsegmental),0
elicited macrophage,Stroma,Interstitial Mph perivascular,0
elicited macrophage,Stroma,Monocyte-derived Mph,0
